# Game Session ID 
0 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 3 / 5 / 2013    20:34:24 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Throw number 1 of 5
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Ok ball 
 Ball 2 -> Bad ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 8.700003 -7.671860 8.513147 	 -0.949996 -7.671860 6.676898 	 8.000000 -7.671860 11.338145 	                    	                    	                    	
 8.680002 -7.898800 8.526648 	 -0.979996 -7.898800 6.679337 	 8.000000 -7.898800 11.368663 	                    	                    	                    	
 8.660003 -8.125740 8.539947 	 -1.009996 -8.125740 6.681575 	 8.000000 -8.125740 11.398980 	                    	                    	                    	
 8.640002 -8.352676 8.553046 	 -1.039996 -8.352676 6.683612 	 8.000000 -8.352676 11.429098 	                    	                    	                    	
 8.620003 -8.579617 8.565946 	 -1.069996 -8.579617 6.685451 	 8.000000 -8.579617 11.459016 	                    	                    	                    	
 8.600002 -8.806557 8.578646 	 -1.099996 -8.806557 6.687088 	 8.000000 -8.806557 11.488734 	                    	                    	                    	
 8.580003 -9.033493 8.591146 	 -1.129996 -9.033493 6.688527 	 8.000000 -9.033493 11.518251 	                    	                    	                    	
 8.560002 -9.260433 8.603445 	 -1.159996 -9.260433 6.689764 	 8.000000 -9.260433 11.547569 	                    	                    	                    	
 8.540003 -9.487373 8.615545 	 -1.189996 -9.487373 6.690803 	 8.000000 -9.487373 11.576687 	                    	                    	                    	
 8.520002 -9.714310 8.627444 	 -1.219996 -9.714310 6.691640 	 8.000000 -9.714310 11.605605 	                    	                    	                    	
 8.500003 -9.941250 8.639144 	 -1.249996 -9.941250 6.692278 	 8.000000 -9.941250 11.634322 	                    	                    	                    	
 8.480002 -10.168190 8.650644 	 -1.279996 -10.168190 6.692717 	 8.000000 -10.168190 11.662841 	                    	                    	                    	
 8.460003 -10.395126 8.661943 	 -1.309996 -10.395126 6.692954 	 8.000000 -10.395126 11.691158 	                    	                    	                    	
 8.440002 -10.622066 8.673043 	 -1.339996 -10.622066 6.692992 	 8.000000 -10.622066 11.719275 	                    	                    	                    	
 8.420003 -10.849007 8.683944 	 -1.369996 -10.849007 6.692831 	 8.000000 -10.849007 11.747193 	                    	                    	                    	
 8.400002 -11.075943 8.694643 	 -1.399996 -11.075943 6.692468 	 8.000000 -11.075943 11.774911 	                    	                    	                    	
 8.380003 -11.302883 8.705143 	 -1.429996 -11.302883 6.691906 	 8.000000 -11.302883 11.802429 	                    	                    	                    	
 8.360003 -11.529823 8.715443 	 -1.459996 -11.529823 6.691144 	 8.000000 -11.529823 11.829747 	                    	                    	                    	
 8.340003 -11.756760 8.725542 	 -1.489996 -11.756760 6.690182 	 8.000000 -11.756760 11.856865 	                    	                    	                    	
 8.320003 -11.983700 8.735442 	 -1.519996 -11.983700 6.689020 	 8.000000 -11.983700 11.883782 	                    	                    	                    	
 8.300003 -12.210640 8.745142 	 -1.549996 -12.210640 6.687658 	 8.000000 -12.210640 11.910501 	                    	                    	                    	
 8.280003 -12.437576 8.754642 	 -1.579996 -12.437576 6.686096 	 8.000000 -12.437576 11.937018 	                    	                    	                    	
 8.260003 -12.664516 8.763941 	 -1.609996 -12.664516 6.684334 	 8.000000 -12.664516 11.963336 	                    	                    	                    	
 8.240003 -12.891457 8.773041 	 -1.639996 -12.891457 6.682372 	 8.000000 -12.891457 11.989453 	                    	                    	                    	
 8.220003 -13.118393 8.781940 	 -1.669996 -13.118393 6.680210 	 8.000000 -13.118393 12.015371 	                    	                    	                    	
 8.200003 -13.345333 8.790640 	 -1.699996 -13.345333 6.677848 	 8.000000 -13.345333 12.041089 	                    	                    	                    	
 8.180003 -13.572273 8.799140 	 -1.729996 -13.572273 6.675286 	 8.000000 -13.572273 12.066607 	                    	                    	                    	
 8.160003 -13.799210 8.807440 	 -1.759996 -13.799210 6.672524 	 8.000000 -13.799210 12.091925 	                    	                    	                    	
 8.140003 -14.026150 8.815539 	 -1.789996 -14.026150 6.669562 	 8.000000 -14.026150 12.117043 	                    	                    	                    	
 8.120003 -14.253090 8.823439 	 -1.819996 -14.253090 6.666400 	 8.000000 -14.253090 12.141960 	                    	                    	                    	
 8.100003 -14.480026 8.831139 	 -1.849995 -14.480026 6.663038 	 8.000000 -14.480026 12.166678 	                    	                    	                    	
 8.080003 -14.706966 8.838638 	 -1.879995 -14.706966 6.659476 	 8.000000 -14.706966 12.191195 	                    	                    	                    	
 8.060003 -14.933907 8.845938 	 -1.909995 -14.933907 6.655714 	 8.000000 -14.933907 12.215513 	                    	                    	                    	
 8.040003 -15.160843 8.853038 	 -1.939995 -15.160843 6.651752 	 8.000000 -15.160843 12.239631 	                    	                    	                    	
 8.020003 -15.387783 8.859938 	 -1.969995 -15.387783 6.647590 	 8.000000 -15.387783 12.263549 	                    	                    	                    	
 8.000003 -15.614723 8.866637 	 -1.999996 -15.614723 6.643228 	 8.000000 -15.614723 12.287267 	                    	                    	                    	
 7.980003 -15.841663 8.873137 	 -2.029996 -15.841663 6.638666 	 8.000000 -15.841663 12.310784 	                    	                    	                    	
 7.960003 -16.068604 8.879436 	 -2.059996 -16.068604 6.633904 	 8.000000 -16.068604 12.334103 	                    	                    	                    	
 7.940003 -16.295540 8.885536 	 -2.089996 -16.295540 6.628942 	 8.000000 -16.295540 12.357221 	                    	                    	                    	
