# Game Session ID 
13 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    20:43:21 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -9.959998 19.073311 7.285566 	 -5.130000 19.073311 6.135146 	 -2.989998 19.073311 9.055445 	                    	                    	                    	                    	                    	                    	                    	
 -9.979999 18.968246 7.311466 	 -5.140000 18.968246 6.149983 	 -3.019998 18.968246 9.098362 	                    	                    	                    	                    	                    	                    	                    	
 -9.999998 18.863182 7.337166 	 -5.150000 18.863182 6.164621 	 -3.049998 18.863182 9.141080 	                    	                    	                    	                    	                    	                    	                    	
 -10.019999 18.758118 7.362666 	 -5.160000 18.758118 6.179060 	 -3.079998 18.758118 9.183598 	                    	                    	                    	                    	                    	                    	                    	
 -10.039998 18.653053 7.387965 	 -5.170000 18.653053 6.193297 	 -3.109998 18.653053 9.225916 	                    	                    	                    	                    	                    	                    	                    	
 -10.059999 18.547989 7.413065 	 -5.180000 18.547989 6.207335 	 -3.139998 18.547989 9.268033 	                    	                    	                    	                    	                    	                    	                    	
 -10.079998 18.442924 7.437964 	 -5.190000 18.442924 6.221173 	 -3.169998 18.442924 9.309951 	                    	                    	                    	                    	                    	                    	                    	
 -10.099998 18.337860 7.462664 	 -5.200000 18.337860 6.234811 	 -3.199998 18.337860 9.351668 	                    	                    	                    	                    	                    	                    	                    	
 -10.119998 18.232796 7.487164 	 -5.210000 18.232796 6.248249 	 -3.229998 18.232796 9.393187 	                    	                    	                    	                    	                    	                    	                    	
 -10.139998 18.127731 7.511464 	 -5.220000 18.127731 6.261487 	 -3.259998 18.127731 9.434505 	                    	                    	                    	                    	                    	                    	                    	
 -10.159998 18.022667 7.535563 	 -5.230000 18.022667 6.274525 	 -3.289998 18.022667 9.475622 	                    	                    	                    	                    	                    	                    	                    	
 -10.179998 17.917603 7.559463 	 -5.240000 17.917603 6.287363 	 -3.319998 17.917603 9.516540 	                    	                    	                    	                    	                    	                    	                    	
 -10.199998 17.812538 7.583163 	 -5.250000 17.812538 6.300001 	 -3.349998 17.812538 9.557258 	                    	                    	                    	                    	                    	                    	                    	
 -10.219998 17.707474 7.606662 	 -5.260000 17.707474 6.312438 	 -3.379998 17.707474 9.597775 	                    	                    	                    	                    	                    	                    	                    	
 -10.239998 17.602409 7.629962 	 -5.270000 17.602409 6.324677 	 -3.409998 17.602409 9.638093 	                    	                    	                    	                    	                    	                    	                    	
 -10.259998 17.497345 7.653062 	 -5.280000 17.497345 6.336715 	 -3.439998 17.497345 9.678211 	                    	                    	                    	                    	                    	                    	                    	
 -10.279998 17.392281 7.675961 	 -5.289999 17.392281 6.348553 	 -3.469998 17.392281 9.718128 	                    	                    	                    	                    	                    	                    	                    	
 -10.299998 17.287216 7.698661 	 -5.300000 17.287216 6.360190 	 -3.499998 17.287216 9.757846 	                    	                    	                    	                    	                    	                    	                    	
 -10.319998 17.182152 7.721161 	 -5.309999 17.182152 6.371628 	 -3.529998 17.182152 9.797364 	                    	                    	                    	                    	                    	                    	                    	
 -10.339998 17.077087 7.743461 	 -5.320000 17.077087 6.382866 	 -3.559998 17.077087 9.836681 	                    	                    	                    	                    	                    	                    	                    	
 -10.359998 16.972023 7.765560 	 -5.329999 16.972023 6.393904 	 -3.589998 16.972023 9.875799 	                    	                    	                    	                    	                    	                    	                    	
 -10.379998 16.866959 7.787460 	 -5.340000 16.866959 6.404742 	 -3.619998 16.866959 9.914717 	                    	                    	                    	                    	                    	                    	                    	
 -10.399998 16.761894 7.809160 	 -5.349999 16.761894 6.415380 	 -3.649997 16.761894 9.953435 	                    	                    	                    	                    	                    	                    	                    	
 -10.419998 16.656830 7.830659 	 -5.360000 16.656830 6.425818 	 -3.679997 16.656830 9.991953 	                    	                    	                    	                    	                    	                    	                    	
 -10.439998 16.551767 7.851959 	 -5.369999 16.551767 6.436056 	 -3.709997 16.551767 10.030271 	                    	                    	                    	                    	                    	                    	                    	
 -10.459998 16.446703 7.873058 	 -5.380000 16.446703 6.446094 	 -3.739997 16.446703 10.068388 	                    	                    	                    	                    	                    	                    	                    	
 -10.479998 16.341639 7.893958 	 -5.389999 16.341639 6.455932 	 -3.769997 16.341639 10.106306 	                    	                    	                    	                    	                    	                    	                    	
 -10.499998 16.236574 7.914658 	 -5.400000 16.236574 6.465570 	 -3.799997 16.236574 10.144024 	                    	                    	                    	                    	                    	                    	                    	
 -10.519998 16.131510 7.935158 	 -5.409999 16.131510 6.475008 	 -3.829997 16.131510 10.181541 	                    	                    	                    	                    	                    	                    	                    	
 -10.539998 16.026445 7.955457 	 -5.420000 16.026445 6.484246 	 -3.859997 16.026445 10.218859 	                    	                    	                    	                    	                    	                    	                    	
 -10.559998 15.921381 7.975557 	 -5.429999 15.921381 6.493284 	 -3.889997 15.921381 10.255977 	                    	                    	                    	                    	                    	                    	                    	
 -10.579998 15.816317 7.995457 	 -5.440000 15.816317 6.502122 	 -3.919997 15.816317 10.292894 	                    	                    	                    	                    	                    	                    	                    	
 -10.599998 15.711252 8.015157 	 -5.449999 15.711252 6.510760 	 -3.949997 15.711252 10.329613 	                    	                    	                    	                    	                    	                    	                    	
 -10.619998 15.606188 8.034657 	 -5.460000 15.606188 6.519198 	 -3.979997 15.606188 10.366130 	                    	                    	                    	                    	                    	                    	                    	
 -10.639997 15.501124 8.053956 	 -5.469999 15.501124 6.527436 	 -4.009997 15.501124 10.402448 	                    	                    	                    	                    	                    	                    	                    	
 -10.659998 15.396060 8.073055 	 -5.480000 15.396060 6.535474 	 -4.039997 15.396060 10.438565 	                    	                    	                    	                    	                    	                    	                    	
 -10.679997 15.290996 8.091955 	 -5.489999 15.290996 6.543312 	 -4.069997 15.290996 10.474483 	                    	                    	                    	                    	                    	                    	                    	
 -10.699998 15.185931 8.110655 	 -5.500000 15.185931 6.550950 	 -4.099997 15.185931 10.510201 	                    	                    	                    	                    	                    	                    	                    	
 -10.719997 15.080867 8.129154 	 -5.509999 15.080867 6.558387 	 -4.129997 15.080867 10.545719 	                    	                    	                    	                    	                    	                    	                    	
 -10.739998 14.975802 8.147454 	 -5.520000 14.975802 6.565626 	 -4.159997 14.975802 10.581037 	                    	                    	                    	                    	                    	                    	                    	
 -10.759997 14.870738 8.165554 	 -5.529999 14.870738 6.572663 	 -4.189997 14.870738 10.616155 	                    	                    	                    	                    	                    	                    	                    	
 -10.779998 14.765674 8.183454 	 -5.539999 14.765674 6.579501 	 -4.219997 14.765674 10.651073 	                    	                    	                    	                    	                    	                    	                    	
 -10.799997 14.660609 8.201154 	 -5.549999 14.660609 6.586139 	 -4.249997 14.660609 10.685790 	                    	                    	                    	                    	                    	                    	                    	
 -10.819998 14.555546 8.218653 	 -5.559999 14.555546 6.592577 	 -4.279997 14.555546 10.720307 	                    	                    	                    	                    	                    	                    	                    	
 -10.839997 14.450481 8.235953 	 -5.569999 14.450481 6.598815 	 -4.309997 14.450481 10.754625 	                    	                    	                    	                    	                    	                    	                    	
 -10.859998 14.345417 8.253053 	 -5.579999 14.345417 6.604853 	 -4.339997 14.345417 10.788743 	                    	                    	                    	                    	                    	                    	                    	
 -10.879997 14.240353 8.269952 	 -5.589999 14.240353 6.610691 	 -4.369997 14.240353 10.822660 	                    	                    	                    	                    	                    	                    	                    	
 -10.899998 14.135288 8.286652 	 -5.599999 14.135288 6.616329 	 -4.399997 14.135288 10.856379 	                    	                    	                    	                    	                    	                    	                    	
 -10.919997 14.030224 8.303151 	 -5.609999 14.030224 6.621767 	 -4.429996 14.030224 10.889896 	                    	                    	                    	                    	                    	                    	                    	
 -10.939998 13.925159 8.319451 	 -5.619999 13.925159 6.627005 	 -4.459997 13.925159 10.923214 	                    	                    	                    	                    	                    	                    	                    	
 -10.959997 13.820095 8.335551 	 -5.629999 13.820095 6.632043 	 -4.489996 13.820095 10.956332 	                    	                    	                    	                    	                    	                    	                    	
 -10.979998 13.715031 8.351451 	 -5.639999 13.715031 6.636881 	 -4.519997 13.715031 10.989249 	                    	                    	                    	                    	                    	                    	                    	
 -10.999997 13.609966 8.367150 	 -5.649999 13.609966 6.641519 	 -4.549996 13.609966 11.021968 	                    	                    	                    	                    	                    	                    	                    	
 -11.019998 13.504902 8.382650 	 -5.659999 13.504902 6.645957 	 -4.579997 13.504902 11.054485 	                    	                    	                    	                    	                    	                    	                    	
 -11.039997 13.399837 8.397950 	 -5.669999 13.399837 6.650195 	 -4.609996 13.399837 11.086803 	                    	                    	                    	                    	                    	                    	                    	
 -11.059998 13.294773 8.413050 	 -5.679999 13.294773 6.654233 	 -4.639997 13.294773 11.118920 	                    	                    	                    	                    	                    	                    	                    	
