# Game Session ID 
146 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    14:10:7 
# With Fead back 
 True  
# With Visible Trajectory 
 False  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -8.910000 22.719042 6.510675 	 -6.129999 22.719042 5.658921 	 -0.150000 22.719042 7.821066 	                    	                    	                    	                    	                    	
 -8.920000 22.624485 6.541975 	 -6.159999 22.624485 5.679159 	 -0.150000 22.624485 7.869383 	                    	                    	                    	                    	                    	
 -8.930000 22.529926 6.573074 	 -6.189999 22.529926 5.699197 	 -0.150000 22.529926 7.917501 	                    	                    	                    	                    	                    	
 -8.940001 22.435368 6.603974 	 -6.219999 22.435368 5.719035 	 -0.150000 22.435368 7.965419 	                    	                    	                    	                    	                    	
 -8.950000 22.340811 6.634674 	 -6.249999 22.340811 5.738673 	 -0.150000 22.340811 8.013137 	                    	                    	                    	                    	                    	
 -8.960000 22.246252 6.665174 	 -6.279999 22.246252 5.758111 	 -0.150000 22.246252 8.060655 	                    	                    	                    	                    	                    	
 -8.970000 22.151695 6.695473 	 -6.309999 22.151695 5.777349 	 -0.150000 22.151695 8.107972 	                    	                    	                    	                    	                    	
 -8.980000 22.057137 6.725573 	 -6.339999 22.057137 5.796387 	 -0.150000 22.057137 8.155089 	                    	                    	                    	                    	                    	
 -8.990000 21.962578 6.755472 	 -6.369998 21.962578 5.815225 	 -0.150000 21.962578 8.202007 	                    	                    	                    	                    	                    	
 -9.000000 21.868021 6.785172 	 -6.399999 21.868021 5.833862 	 -0.150000 21.868021 8.248725 	                    	                    	                    	                    	                    	
 -9.010000 21.773464 6.814672 	 -6.429998 21.773464 5.852300 	 -0.150000 21.773464 8.295243 	                    	                    	                    	                    	                    	
 -9.020000 21.678905 6.843971 	 -6.459999 21.678905 5.870538 	 -0.150000 21.678905 8.341560 	                    	                    	                    	                    	                    	
 -9.030000 21.584347 6.873071 	 -6.489998 21.584347 5.888576 	 -0.150000 21.584347 8.387678 	                    	                    	                    	                    	                    	
 -9.040000 21.489790 6.901971 	 -6.519999 21.489790 5.906414 	 -0.150000 21.489790 8.433597 	                    	                    	                    	                    	                    	
 -9.050000 21.395231 6.930670 	 -6.549998 21.395231 5.924052 	 -0.150000 21.395231 8.479314 	                    	                    	                    	                    	                    	
 -9.060000 21.300674 6.959170 	 -6.579998 21.300674 5.941490 	 -0.150000 21.300674 8.524832 	                    	                    	                    	                    	                    	
 -9.070000 21.206116 6.987470 	 -6.609998 21.206116 5.958728 	 -0.150000 21.206116 8.570149 	                    	                    	                    	                    	                    	
 -9.080000 21.111557 7.015570 	 -6.639998 21.111557 5.975766 	 -0.150000 21.111557 8.615267 	                    	                    	                    	                    	                    	
