# Game Session ID 
161 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:43:38 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -9.539997 19.703697 7.125968 	 -5.370001 19.703697 6.041918 	 -2.509998 19.703697 8.793738 	                    	                    	                    	                    	                    	                    	                    	
 -9.559998 19.598633 7.153068 	 -5.380001 19.598633 6.057956 	 -2.539998 19.598633 8.837855 	                    	                    	                    	                    	                    	                    	                    	
 -9.579997 19.493568 7.179967 	 -5.390001 19.493568 6.073793 	 -2.569998 19.493568 8.881773 	                    	                    	                    	                    	                    	                    	                    	
 -9.599998 19.388504 7.206667 	 -5.400001 19.388504 6.089432 	 -2.599998 19.388504 8.925491 	                    	                    	                    	                    	                    	                    	                    	
 -9.619997 19.283440 7.233167 	 -5.410001 19.283440 6.104869 	 -2.629998 19.283440 8.969009 	                    	                    	                    	                    	                    	                    	                    	
 -9.639997 19.178375 7.259467 	 -5.420001 19.178375 6.120108 	 -2.659998 19.178375 9.012327 	                    	                    	                    	                    	                    	                    	                    	
 -9.659997 19.073311 7.285566 	 -5.430001 19.073311 6.135146 	 -2.689998 19.073311 9.055445 	                    	                    	                    	                    	                    	                    	                    	
 -9.679997 18.968246 7.311466 	 -5.440001 18.968246 6.149983 	 -2.719998 18.968246 9.098362 	                    	                    	                    	                    	                    	                    	                    	
 -9.699997 18.863182 7.337166 	 -5.450001 18.863182 6.164621 	 -2.749998 18.863182 9.141080 	                    	                    	                    	                    	                    	                    	                    	
 -9.719997 18.758118 7.362666 	 -5.460001 18.758118 6.179060 	 -2.779998 18.758118 9.183598 	                    	                    	                    	                    	                    	                    	                    	
 -9.739997 18.653053 7.387965 	 -5.470001 18.653053 6.193297 	 -2.809998 18.653053 9.225916 	                    	                    	                    	                    	                    	                    	                    	
 -9.759997 18.547989 7.413065 	 -5.480001 18.547989 6.207335 	 -2.839998 18.547989 9.268033 	                    	                    	                    	                    	                    	                    	                    	
 -9.779997 18.442924 7.437964 	 -5.490001 18.442924 6.221173 	 -2.869998 18.442924 9.309951 	                    	                    	                    	                    	                    	                    	                    	
 -9.799997 18.337860 7.462664 	 -5.500001 18.337860 6.234811 	 -2.899998 18.337860 9.351668 	                    	                    	                    	                    	                    	                    	                    	
 -9.819997 18.232796 7.487164 	 -5.510001 18.232796 6.248249 	 -2.929998 18.232796 9.393187 	                    	                    	                    	                    	                    	                    	                    	
 -9.839997 18.127731 7.511464 	 -5.520001 18.127731 6.261487 	 -2.959998 18.127731 9.434505 	                    	                    	                    	                    	                    	                    	                    	
 -9.859997 18.022667 7.535563 	 -5.530001 18.022667 6.274525 	 -2.989998 18.022667 9.475622 	                    	                    	                    	                    	                    	                    	                    	
 -9.879997 17.917603 7.559463 	 -5.540001 17.917603 6.287363 	 -3.019998 17.917603 9.516540 	                    	                    	                    	                    	                    	                    	                    	
 -9.899997 17.812538 7.583163 	 -5.550001 17.812538 6.300001 	 -3.049998 17.812538 9.557258 	                    	                    	                    	                    	                    	                    	                    	
 -9.919997 17.707474 7.606662 	 -5.560001 17.707474 6.312438 	 -3.079998 17.707474 9.597775 	                    	                    	                    	                    	                    	                    	                    	
 -9.939997 17.602409 7.629962 	 -5.570001 17.602409 6.324677 	 -3.109998 17.602409 9.638093 	                    	                    	                    	                    	                    	                    	                    	
 -9.959997 17.497345 7.653062 	 -5.580001 17.497345 6.336715 	 -3.139998 17.497345 9.678211 	                    	                    	                    	                    	                    	                    	                    	
 -9.979997 17.392281 7.675961 	 -5.590001 17.392281 6.348553 	 -3.169998 17.392281 9.718128 	                    	                    	                    	                    	                    	                    	                    	
 -9.999997 17.287216 7.698661 	 -5.600001 17.287216 6.360190 	 -3.199998 17.287216 9.757846 	                    	                    	                    	                    	                    	                    	                    	
 -10.019997 17.182152 7.721161 	 -5.610001 17.182152 6.371628 	 -3.229998 17.182152 9.797364 	                    	                    	                    	                    	                    	                    	                    	
 -10.039997 17.077087 7.743461 	 -5.620001 17.077087 6.382866 	 -3.259998 17.077087 9.836681 	                    	                    	                    	                    	                    	                    	                    	
 -10.059997 16.972023 7.765560 	 -5.630001 16.972023 6.393904 	 -3.289998 16.972023 9.875799 	                    	                    	                    	                    	                    	                    	                    	
 -10.079997 16.866959 7.787460 	 -5.640001 16.866959 6.404742 	 -3.319998 16.866959 9.914717 	                    	                    	                    	                    	                    	                    	                    	
 -10.099997 16.761894 7.809160 	 -5.650001 16.761894 6.415380 	 -3.349998 16.761894 9.953435 	                    	                    	                    	                    	                    	                    	                    	
 -10.119997 16.656830 7.830659 	 -5.660001 16.656830 6.425818 	 -3.379997 16.656830 9.991953 	                    	                    	                    	                    	                    	                    	                    	
 -10.139997 16.551767 7.851959 	 -5.670001 16.551767 6.436056 	 -3.409997 16.551767 10.030271 	                    	                    	                    	                    	                    	                    	                    	
 -10.159997 16.446703 7.873058 	 -5.680001 16.446703 6.446094 	 -3.439997 16.446703 10.068388 	                    	                    	                    	                    	                    	                    	                    	
 -10.179996 16.341639 7.893958 	 -5.690001 16.341639 6.455932 	 -3.469997 16.341639 10.106306 	                    	                    	                    	                    	                    	                    	                    	
 -10.199997 16.236574 7.914658 	 -5.700001 16.236574 6.465570 	 -3.499997 16.236574 10.144024 	                    	                    	                    	                    	                    	                    	                    	
 -10.219996 16.131510 7.935158 	 -5.710001 16.131510 6.475008 	 -3.529997 16.131510 10.181541 	                    	                    	                    	                    	                    	                    	                    	
