# Game Session ID 
169 
### Session Start ### 
# Game ID 
0 
# Begin play Date and Time 
 7 / 5 / 2013    16:58:19 
# With Fead back 
 False  
# With Visible Trajectory 
 True  
### Game start ### 
 # Throw number 1 of 30
# Type of Balls 
 Ball 0 -> Good ball 
 Ball 1 -> Bad ball 
 Ball 2 -> Ok ball 
# Trajectory par ball 
 Ball 0                               	 Ball 1                               	 Ball 2                               	 Ball 3                               	 Ball 4                               	 Ball 5                               	 Ball 6                               	 Ball 7                               	 Ball 8                               	 Ball 9                               	
X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	X          Y          Z          	
 -9.900002 22.540432 6.318677 	 -4.200000 22.540432 5.533293 	 -2.599999 22.540432 7.526959 	                    	                    	                    	                    	                    	                    	                    	
 -9.920001 22.435368 6.351177 	 -4.210000 22.435368 5.554731 	 -2.629999 22.435368 7.576477 	                    	                    	                    	                    	                    	                    	                    	
 -9.940001 22.330303 6.383476 	 -4.220000 22.330303 5.575969 	 -2.659999 22.330303 7.625795 	                    	                    	                    	                    	                    	                    	                    	
 -9.960001 22.225239 6.415576 	 -4.230000 22.225239 5.597007 	 -2.689999 22.225239 7.674912 	                    	                    	                    	                    	                    	                    	                    	
 -9.980001 22.120174 6.447475 	 -4.240000 22.120174 5.617845 	 -2.719999 22.120174 7.723830 	                    	                    	                    	                    	                    	                    	                    	
 -10.000001 22.015110 6.479176 	 -4.250000 22.015110 5.638483 	 -2.749999 22.015110 7.772548 	                    	                    	                    	                    	                    	                    	                    	
 -10.020001 21.910046 6.510675 	 -4.260000 21.910046 5.658921 	 -2.779999 21.910046 7.821066 	                    	                    	                    	                    	                    	                    	                    	
 -10.040001 21.804981 6.541975 	 -4.270000 21.804981 5.679159 	 -2.809999 21.804981 7.869383 	                    	                    	                    	                    	                    	                    	                    	
 -10.060001 21.699917 6.573074 	 -4.280000 21.699917 5.699197 	 -2.839999 21.699917 7.917501 	                    	                    	                    	                    	                    	                    	                    	
 -10.080001 21.594852 6.603974 	 -4.290000 21.594852 5.719035 	 -2.869999 21.594852 7.965419 	                    	                    	                    	                    	                    	                    	                    	
 -10.100001 21.489788 6.634674 	 -4.300000 21.489788 5.738673 	 -2.899999 21.489788 8.013137 	                    	                    	                    	                    	                    	                    	                    	
 -10.120001 21.384724 6.665174 	 -4.310000 21.384724 5.758111 	 -2.929999 21.384724 8.060655 	                    	                    	                    	                    	                    	                    	                    	
 -10.140001 21.279659 6.695473 	 -4.320000 21.279659 5.777349 	 -2.959999 21.279659 8.107972 	                    	                    	                    	                    	                    	                    	                    	
 -10.160001 21.174597 6.725573 	 -4.330000 21.174597 5.796387 	 -2.989999 21.174597 8.155089 	                    	                    	                    	                    	                    	                    	                    	
 -10.180001 21.069532 6.755472 	 -4.340000 21.069532 5.815225 	 -3.019999 21.069532 8.202007 	                    	                    	                    	                    	                    	                    	                    	
 -10.200001 20.964468 6.785172 	 -4.350000 20.964468 5.833862 	 -3.049999 20.964468 8.248725 	                    	                    	                    	                    	                    	                    	                    	
 -10.220001 20.859404 6.814672 	 -4.360000 20.859404 5.852300 	 -3.079998 20.859404 8.295243 	                    	                    	                    	                    	                    	                    	                    	
